Mach	Beta	AoA	Force_X	Force_Y	Force_Z	CM_X	CM_Y	CM_Z	Cl	Cd	CM_Z_coeff
1.5	0	0	848.3250000000004	-0.6679929999999998	-0.6444020952380951	-0.5493464761904764	1.399243809523809	-1.505941904761905	-0.0012646738095238	1.606090000000001	-0.0008152098571428
1.5	0	1	851.0993928571431	957.12650525	-0.6469049047619047	-0.5346470952380954	1.4325171428571424	1910.1780435714288	1.7792814946428577	1.7368200000000007	1.0340360926071424
1.5	0	4	859.4225714285716	3830.51	-0.6544133333333333	-0.4905489523809523	1.5323371428571428	7645.23	7.120920000000002	2.1290100000000005	4.138589999999998
1.5	0	5	874.0496785714288	4812.552499999999	-0.6381538333333333	-0.4622005595238094	1.5007491666666666	9572.622499999998	8.916765000000003	2.5380775000000004	5.181947499999998
1.5	0	7	903.3038928571432	6776.637499999997	-0.6056348333333332	-0.4055037738095237	1.437573214285714	13427.407499999996	12.508455000000009	3.3562125000000003	7.268662499999999
1.5	0	9	920.3829523809526	8608.309999999998	-0.4810776464285713	-0.3733892738095237	1.1485530095238097	17023.324999999997	15.802350000000008	4.351418214285714	9.21524
1.5	0	10	922.8349047619048	9457.94	-0.3727799595238095	-0.3696231666666666	0.8911207809523809	18691.85	17.300400000000003	4.937556428571429	10.118460000000002
1.5	0	11	925.286857142857	10307.570000000003	-0.2644822726190476	-0.3658570595238095	0.6336885523809525	20360.375000000007	18.798450000000003	5.523694642857143	11.021680000000003
1.5	0	12	927.7388095238092	11157.200000000004	-0.1561845857142857	-0.3620909523809524	0.3762563238095239	22028.90000000001	20.2965	6.109832857142858	11.924900000000004
1.5	0	14	916.698095238095	12650.900000000003	-0.0553671833333333	-0.3712325714285714	0.4508940190476191	25001.40000000001	22.782850000000003	7.569701428571431	13.534000000000002
1.5	0	15	911.1777380952378	13397.750000000004	-0.0049584821428571	-0.375803380952381	0.4882128666666667	26487.65000000001	24.026025000000008	8.299635714285717	14.33855
1.5	0	16	905.6573809523808	14144.600000000002	0.045450219047619	-0.3803741904761906	0.5255317142857143	27973.90000000001	25.26920000000001	9.029570000000003	15.1431
1.5	0	18	885.0495476190474	15532.85	0.208692919047619	-0.3751886666666667	0.2678341183333333	30703.0	27.406550000000003	10.762168333333332	16.62045
1.5	0	20	864.4417142857142	16921.099999999995	0.371935619047619	-0.3700031428571428	0.0101365223809523	33432.09999999999	29.5439	12.494766666666663	18.097800000000003
1.5	0	21	846.8593809523809	17603.07976190476	0.4304774642857142	-0.3858847499999999	-0.1831300605952381	34776.71904761904	30.501111904761903	13.49712976190476	18.825676190476194
1.5	0	22	829.2770476190476	18285.05952380952	0.4890193095238094	-0.4017663571428571	-0.3763966435714286	36121.33809523808	31.458323809523808	14.499492857142856	19.553552380952382
1.5	0	23	811.6947142857142	18967.03928571428	0.5475611547619047	-0.4176479642857142	-0.5696632265476191	37465.95714285713	32.41553571428571	15.501855952380954	20.28142857142857
1.5	0	24	794.1123809523809	19649.019047619044	0.606103	-0.4335295714285714	-0.7629298095238096	38810.576190476175	33.372747619047615	16.50421904761905	21.00930476190476
1.5	0	25	780.9765357142858	20210.0	-0.4707615297619044	0.431057136904762	1.854952420238095	39907.35714285713	34.0140369047619	17.55281904761905	21.60302142857143
1.5	0	26	767.8406904761905	20770.98095238095	-1.5476260595238087	1.2956438452380954	4.472834649999999	41004.138095238086	34.65532619047619	18.60141904761905	22.196738095238096
1.5	0	27	754.7048452380952	21331.9619047619	-2.6244905892857133	2.160230553571429	7.090716879761904	42100.91904761904	35.296615476190475	19.65001904761905	22.79045476190476
1.5	0	28	741.5690000000001	21892.94285714285	-3.7013551190476175	3.0248172619047624	9.708599109523808	43197.7	35.93790476190476	20.69861904761905	23.38417142857143
1.5	0	29	728.1218690476192	22337.528571428567	8.445246755952383	1.807363792857143	-19.43207447738095	44090.96428571428	36.28235238095238	21.737185714285715	23.867723809523813
1.5	0	30	714.6747380952381	22782.114285714284	20.591848630952384	0.5899103238095238	-48.57274806428571	44984.22857142857	36.6268	22.775752380952383	24.351276190476195
1.5	0	31	701.2276071428571	23226.7	32.73845050595238	-0.6275431452380955	-77.71342165119047	45877.49285714286	36.97124761904762	23.814319047619048	24.834828571428577
1.5	0	32	687.7804761904762	23671.28571428571	44.88505238095238	-1.8449966142857144	-106.85409523809524	46770.75714285715	37.315695238095245	24.852885714285712	25.31838095238096
1.5	0	33	691.4075952380952	24014.052380952377	33.112586404761906	-1.1764736511904763	-79.27799558333334	47503.75238095239	37.38052380952381	25.875497619047614	25.715169047619053
1.5	0	36	702.2889523809523	25042.352380952376	-2.204811523809524	0.8290952380952383	3.4503033809523806	49702.73809523809	37.57500952380951	28.94333333333333	26.90553333333333
1.5	0	37	685.895738095238	25391.88928571429	0.5954555238095232	2.460880761904762	-2.0317284166666667	50468.67976190476	37.57426904761904	29.982575	27.32015833333333
1.5	0	38	669.5025238095238	25741.42619047619	3.3957225714285704	4.0926662857142855	-7.513760214285714	51234.62142857142	37.57352857142857	31.021816666666663	27.73478333333333
1.5	0	39	653.1093095238095	26090.963095238098	6.195989619047617	5.724451809523809	-12.99579201190476	52000.563095238096	37.572788095238096	32.061058333333335	28.149408333333326
1.5	0	40	636.7160952380952	26440.500000000007	8.996256666666664	7.356237333333333	-18.47782380952381	52766.50476190476	37.57204761904762	33.100300000000004	28.564033333333327
1.5	0	41	628.1036190476191	26666.76666666667	8.822797380952379	7.877704238095237	-20.628519642857142	53273.28928571429	37.29140119047619	34.021217857142865	28.838371428571428
1.5	0	42	619.4911428571429	26893.033333333336	8.649338095238093	8.399171142857142	-22.77921547619048	53780.073809523805	37.01075476190477	34.942135714285726	29.112709523809524
1.5	0	43	610.8786666666666	27119.300000000003	8.47587880952381	8.920638047619047	-24.92991130952381	54286.85833333333	36.73010833333333	35.86305357142858	29.38704761904762
1.5	0	44	602.2661904761904	27345.566666666666	8.302419523809524	9.442104952380951	-27.080607142857144	54793.642857142855	36.4494619047619	36.78397142857144	29.66138571428572
1.5	0	45	602.1810833333334	27512.33333333333	-4.323538928571431	11.816493833333332	-17.894437976190478	55151.66547619047	35.99717023809523	37.63174166666668	29.85519285714286
1.5	0	46	602.0959761904762	27679.1	-16.949497380952387	14.190882714285712	-8.708268809523812	55509.68809523809	35.54487857142857	38.47951190476192	30.049
1.5	0	48	601.925761904762	28012.63333333333	-42.20141428571429	18.939660476190472	9.664069523809522	56225.73333333333	34.640295238095234	40.17505238095239	30.43661428571428
1.5	0	51	590.5920833333334	28537.190476190477	-14.686391428571431	2.1300526190476177	16.795103095238098	57266.979761904775	33.10348095238095	42.68330595238095	31.00027857142857
1.5	0	52	586.8141904761906	28712.042857142853	-5.514717142857141	-3.4731500000000004	19.172114285714287	57614.06190476192	32.591209523809525	43.51939047619047	31.188166666666667
